AirportNode,PageRankValue
STG,0.06926761106572979
KOZ,0.06918892626977587
GFK,0.06899143638922718
WNA,0.06881747911942414
HPB,0.06845644388270293
SHG,0.06845196035388613
KLL,0.06795992918599167
GNU,0.06766490257650774
KCG,0.06749035992130434
COU,0.0674625006232338
SCF,0.06734367862034758
GRK,0.06699270656712426
RLU,0.06692435706532021
KLN,0.06600700060779699
STS,0.06594874023325352
TLA,0.06594348619508185
AKI,0.06552978207927672
MHK,0.06466045995576863
SCM,0.06438423299719849
BGR,0.0642535901862176
PKA,0.06386322360998797
TAL,0.06359603893347085
VAK,0.06357490709629482
IGG,0.06357004810833103
CKD,0.06351543210428676
OLH,0.0629446162055601
TRI,0.062123010226986165
HNH,0.06197626200976032
KTS,0.06195897718276188
NNL,0.061864870626918464
CRP,0.06175203061195233
JAN,0.06105131114002999
SBP,0.06074488898274707
SWF,0.05971955403185166
LFT,0.05969125589937931
CHO,0.0596048752396477
KEK,0.05873338508731985
GYY,0.05870430339252373
SHX,0.05863130986414476
CPR,0.05826556726793641
WAA,0.058182507050734314
NKI,0.058111064352580274
WHD,0.058111064352580274
UGS,0.05780046821114092
CLP,0.057649949894701354
TOL,0.05732745786264907
BFL,0.05714223397413477
CPX,0.05689052767885743
KYU,0.05676017331214432
GLV,0.05651488216860841
PIP,0.05640292422593607
KAL,0.05626083216550504
NUL,0.05599944145071324
CIK,0.055955403108682404
RST,0.05551367005727939
ACK,0.05508056620120537
MYU,0.05493880072063587
MVY,0.05486314910378973
SLQ,0.054822428978341435
KLW,0.05465418295561726
KGK,0.054033804378448784
YAK,0.05369017833520423
LNK,0.053358924468616974
VQS,0.053343906285289615
MNT,0.05297773734869553
VRB,0.052596896501164246
MOT,0.05209518990965882
CSG,0.05164679426157784
FRD,0.051607159696656926
ROW,0.050958818619303244
LAL,0.05095839926245153
TTN,0.05064618340448105
SCK,0.05014255853810349
SGU,0.05011745514001093
NUI,0.04997881312865947
YKM,0.049927007797978366
GST,0.04965350575095972
SJT,0.04955075648789777
TOG,0.04943232281021374
OBU,0.04941078345324824
PTU,0.049280887029216625
DRG,0.048537154775965784
CDV,0.04816806519820526
SVS,0.04803624125278224
KNK,0.04762396271042164
ITO,0.04741505785855426
HCR,0.04736720595890648
MTX,0.04676006349325973
ANV,0.04624528165397776
PAE,0.04602048348585432
IRC,0.04578019379380617
TWF,0.04533714834241618
HNS,0.0450784670974202
FOE,0.04498474024238101
MNZ,0.044935820772726016
CMI,0.04492663033201707
KQA,0.044897874297405875
DLH,0.04482065096571325
APF,0.044820349129947874
PTA,0.04455415789444289
BVU,0.04304210466080385
ILG,0.042951729945318526
FOK,0.04285482690419647
KYK,0.04265559017407975
KBC,0.04242378233175753
SWO,0.0422855433566148
PPC,0.04221361872346685
ABI,0.04205165216269011
HSH,0.0417225141611911
ERI,0.041674034491863264
USA,0.04129778887744703
BLV,0.04083211946238217
LNY,0.04072129245772328
SPI,0.04035270101773045
ELM,0.040332791963249015
GTR,0.040321708925353916
CXF,0.0397752823552235
LBE,0.039729278177760716
AGS,0.0392438818495222
SGY,0.03921783675803246
